epoch,loss,lr,val_loss
0,1.5573177337646484,0.001,0.536143958568573
1,0.27157706022262573,0.001,-0.3275231719017029
2,-0.48815107345581055,0.001,-0.9807998538017273
3,-1.1641566753387451,0.001,-1.8071565628051758
4,-2.014056444168091,0.001,-2.7409539222717285
5,-3.0527563095092773,0.001,-3.710559844970703
6,-4.016103744506836,0.001,-4.62710428237915
7,-4.7921857833862305,0.001,-5.367696285247803
8,-5.3325018882751465,0.001,-5.36066198348999
9,-5.887386322021484,0.001,-6.1313676834106445
10,-6.029507637023926,0.001,-5.7342529296875
11,-6.353245735168457,0.001,-6.695152282714844
12,-6.670819282531738,0.001,-7.136960029602051
13,-6.798561096191406,0.001,-7.1649675369262695
14,-7.055932521820068,0.001,-7.4858880043029785
15,-7.560719966888428,0.001,-7.764155387878418
16,-7.451962947845459,0.001,-8.016656875610352
17,-8.054915428161621,0.001,-8.200810432434082
18,-8.023763656616211,0.001,-8.513587951660156
19,-8.602490425109863,0.001,-8.849635124206543
20,-8.623669624328613,0.001,-8.964852333068848
21,-8.846592903137207,0.001,-9.211337089538574
22,-8.893747329711914,0.001,-8.277734756469727
23,-8.337530136108398,0.001,-9.520771026611328
24,-9.475996017456055,0.001,-9.76780891418457
25,-9.631308555603027,0.001,-10.100835800170898
26,-9.980669021606445,0.001,-10.383001327514648
27,-10.138742446899414,0.001,-10.388242721557617
28,-10.180377960205078,0.001,-10.421554565429688
29,-10.045364379882812,0.001,-10.093608856201172
30,-10.18638801574707,0.001,-10.970614433288574
31,-10.740946769714355,0.001,-11.255685806274414
32,-10.924552917480469,0.001,-11.281045913696289
33,-10.953863143920898,0.001,-10.851346969604492
34,-10.263078689575195,0.001,-11.423555374145508
35,-10.661479949951172,0.001,-10.978998184204102
36,-10.542985916137695,0.001,-10.186139106750488
37,-10.100876808166504,0.001,-10.669092178344727
38,-10.907720565795898,0.0005,-11.564640998840332
39,-11.44414234161377,0.0005,-11.662358283996582
40,-11.62100601196289,0.0005,-11.814257621765137
41,-11.743908882141113,0.0005,-12.078311920166016
42,-12.097550392150879,0.0005,-12.376846313476562
43,-12.15079116821289,0.0005,-12.434478759765625
44,-12.36928653717041,0.0005,-12.581578254699707
45,-12.429988861083984,0.0005,-12.471298217773438
46,-12.189468383789062,0.0005,-12.5444917678833
47,-12.311975479125977,0.0005,-12.40504264831543
48,-12.279261589050293,0.00025,-12.562215805053711
49,-12.526707649230957,0.00025,-12.845105171203613
50,-12.794763565063477,0.00025,-12.977513313293457
51,-12.896496772766113,0.00025,-13.107951164245605
52,-13.00146484375,0.00025,-13.04131031036377
53,-13.002716064453125,0.00025,-13.208351135253906
54,-13.133354187011719,0.00025,-13.298693656921387
55,-13.120457649230957,0.00025,-13.382916450500488
56,-13.280200004577637,0.00025,-13.356539726257324
57,-13.195483207702637,0.00025,-13.453486442565918
58,-13.368535995483398,0.00025,-13.53704833984375
59,-13.381477355957031,0.00025,-13.559587478637695
60,-13.443389892578125,0.00025,-13.641627311706543
61,-13.535451889038086,0.00025,-13.683023452758789
62,-13.464605331420898,0.00025,-13.729072570800781
63,-13.534896850585938,0.00025,-13.645858764648438
64,-13.4558687210083,0.00025,-13.722885131835938
65,-13.5963773727417,0.00025,-13.78149700164795
66,-13.627172470092773,0.00025,-13.903658866882324
67,-13.748809814453125,0.00025,-13.859535217285156
68,-13.671786308288574,0.00025,-13.93705940246582
69,-13.713098526000977,0.00025,-13.957529067993164
70,-13.71394157409668,0.00025,-13.842938423156738
71,-13.72474479675293,0.00025,-13.970972061157227
72,-13.913808822631836,0.00025,-13.895029067993164
73,-13.791287422180176,0.00025,-14.044172286987305
74,-13.844079971313477,0.00025,-14.002349853515625
75,-13.83264446258545,0.00025,-14.066596984863281
76,-13.87147331237793,0.00025,-14.018533706665039
77,-13.768211364746094,0.00025,-13.975988388061523
78,-13.810015678405762,0.00025,-13.982989311218262
79,-13.84992790222168,0.000125,-14.21691608428955
80,-14.084501266479492,0.000125,-14.320127487182617
81,-14.166481018066406,0.000125,-14.429486274719238
82,-14.212896347045898,0.000125,-14.427961349487305
83,-14.27539348602295,0.000125,-14.465261459350586
84,-14.287701606750488,0.000125,-14.4678955078125
85,-14.329259872436523,0.000125,-14.535922050476074
86,-14.330192565917969,0.000125,-14.547393798828125
87,-14.385398864746094,0.000125,-14.582000732421875
88,-14.380610466003418,0.000125,-14.620368957519531
89,-14.437146186828613,0.000125,-14.662385940551758
90,-14.489527702331543,0.000125,-14.681631088256836
91,-14.50830364227295,0.000125,-14.653409004211426
92,-14.430303573608398,0.000125,-14.658343315124512
93,-14.415675163269043,0.000125,-14.664413452148438
94,-14.454217910766602,6.25e-05,-14.679652214050293
95,-14.549339294433594,6.25e-05,-14.78472900390625
96,-14.664645195007324,6.25e-05,-14.828893661499023
97,-14.636999130249023,6.25e-05,-14.833895683288574
98,-14.656015396118164,6.25e-05,-14.870407104492188
99,-14.6851167678833,6.25e-05,-14.87547779083252
